ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
666	Beijing	nose	鼻子	pi³⁵ʦɿ³	p i ³⁵ ts ɿ		28	301	p i ³⁵ ts ɿ	C V T C V	p - i - ³⁵ ts ɿ - ³	p i ³⁵ ts ɿ ³	C V T C V T
653	Changsha	nose	鼻子	pi²⁴ʦɿ	p i ²⁴ ts ɿ		28	301	p i ²⁴ ts ɿ	C V T C V	p - i - ²⁴ ts ɿ - -	p i ²⁴ ts ɿ	C V T C V
662	Chengdu	nose	鼻子	pi³¹ʦɿ⁵³	p i ³¹ ts ɿ		28	301	p i ³¹ ts ɿ	C V T C V	p - i - ³¹ ts ɿ - ⁵³	p i ³¹ ts ɿ ⁵³	C V T C V T
654	Guixian	nose	鼻子	pi²¹ʦɿ⁴²	p i ²¹ ts ɿ		28	301	p i ²¹ ts ɿ	C V T C V	p - i - ²¹ ts ɿ - ⁴²	p i ²¹ ts ɿ ⁴²	C V T C V T
657	Hefei	nose	鼻子	pjəʔ⁵ʦə	p ə ⁵ ts ə		28	301	p ə ⁵ ts ə	C V T C V	p j ə ʔ ⁵ ts ə - -	p j ə ʔ ⁵ ts ə	C C V C T C V
658	Jinan	nose	鼻子	pi⁴²ʦɿ	p i ⁴² ts ɿ		28	301	p i ⁴² ts ɿ	C V T C V	p - i - ⁴² ts ɿ - -	p i ⁴² ts ɿ	C V T C V
667	Kunming	nose	鼻子	pi³¹ʦɿ⁵³	p i ³¹ ts ɿ		28	301	p i ³¹ ts ɿ	C V T C V	p - i - ³¹ ts ɿ - ⁵³	p i ³¹ ts ɿ ⁵³	C V T C V T
663	Taiyuan	nose	鼻子	pjəʔ⁵⁴ʦəʔ	p ə ⁵⁴ ts ə		28	301	p ə ⁵⁴ ts ə	C V T C V	p j ə ʔ ⁵⁴ ts ə ʔ -	p j ə ʔ ⁵⁴ ts ə ʔ	C C V C T C V C
659	Hangzhou	nose	鼻头	bɑʔ²dej²¹³	b ɑ ʔ ² d e ²¹³		729	660	b ɑ ʔ ² d e ²¹³	C V C T C V T	b - ɑ ʔ ² d - e j ²¹³	b ɑ ʔ ² d e j ²¹³	C V C T C V C T
668	Shanghai	nose	鼻头	bjɪʔ¹dɤ¹³	b ɪ ʔ ¹ d ɤ ¹³		729	660	b ɪ ʔ ¹ d ɤ ¹³	C V C T C V T	b j ɪ ʔ ¹ d - ɤ - ¹³	b j ɪ ʔ ¹ d ɤ ¹³	C C V C T C V T
664	Shexian	nose	鼻头	pʰi²²tʰju⁴⁴	pʰ i ²² tʰ u ⁴⁴		729	660	pʰ i - ²² tʰ u ⁴⁴	C V T C V T	pʰ - i - ²² tʰ j u - ⁴⁴	pʰ i ²² tʰ j u ⁴⁴	C V T C C V T
1392	Chengdu	nurse	奶妈子	naj⁵³ma⁵⁵ʦɿ⁵³	n a ⁵³ m a ⁵⁵		398	400	n a ⁵³ m a ⁵⁵	C V T C V T	n a j ⁵³ - - m a - ⁵⁵ ts ɿ ⁵³	n a j ⁵³ m a ⁵⁵ ts ɿ ⁵³	C V C T C V T C V T
1394	Shexian	nurse	奶姆	na³⁵m̩³⁵	n a ³⁵ m̩ ³⁵		398	400	n a ³⁵ m̩ - ³⁵	C V T C T	n a - ³⁵ - - m̩ - - ³⁵ - - -	n a ³⁵ m̩ ³⁵	C V T C T
1396	Beijing	nurse	保姆	pɑw²¹⁴mu²¹⁴	p ɑ w ²¹⁴ m u ²¹⁴		378	383	p ɑ w ²¹⁴ m u ²¹⁴	C V C T C V T	p ɑ w ²¹⁴ m u - ²¹⁴	p ɑ w ²¹⁴ m u ²¹⁴	C V C T C V T
1377	Changsha	nurse	保姆	paw⁴¹mo⁴¹	p a w ⁴¹ m o ⁴¹		378	383	p a w ⁴¹ m o ⁴¹	C V C T C V T	p a w ⁴¹ m o - ⁴¹	p a w ⁴¹ m o ⁴¹	C V C T C V T
1390	Chengdu	nurse	保姆	paw⁵³mu⁵³	p a w ⁵³ m u ⁵³		378	383	p a w ⁵³ m u ⁵³	C V C T C V T	p a w ⁵³ m u - ⁵³	p a w ⁵³ m u ⁵³	C V C T C V T
1387	Guangzhou	nurse	保姆	pow³⁵mow²³	p o w ³⁵ m o ²³		378	383	p o w ³⁵ m o ²³	C V C T C V T	p o w ³⁵ m o w ²³	p o w ³⁵ m o w ²³	C V C T C V C T
