ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE
1237	Chengdu	boy	男娃子	nan³¹wa³¹ʦɿ⁵³	n a n ³¹ w a ³¹ ts ɿ ⁵³		747	677	n a n ³¹ w a ³¹ ts ɿ ⁵³	C V C T C V T C V T
1246	Kunming	boy	男娃娃	nᴀ̃³¹wᴀ³¹wᴀ³¹	n ᴀ̃/ã̱ ³¹ w ᴀ/a̱ ³¹ w ᴀ/a̱ ³¹		747	677	n ᴀ̃/ã̱ - ³¹ w ᴀ/a̱ ³¹ w ᴀ/a̱ ³¹	C V T C V T C V T
1238	Taiyuan	boy	男娃娃	næ̃¹¹va¹¹va¹¹	n æ̃ ¹¹ v a ¹¹ v a ¹¹		747	677	n æ̃ - ¹¹ v a ¹¹ v a ¹¹	C V T C V T C V T
1245	Beijing	boy	小子	ɕjɑwiɑu²¹⁴ʦɿ⁴	ɕ j ɑ w i ɑ u ²¹⁴ ts ɿ ⁴		562	526	ɕ j ɑ w i ɑ u ²¹⁴ ts ɿ - ⁴	C C V C V V V T C V T
1241	Shexian	boy	小家	sjɔ³⁵ka	s j ɔ ³⁵ k a		562	526	s j ɔ - - - - ³⁵ k a - -	C C V T C V
1023	Beijing	breakfast	早上饭	ʦɑw²¹⁴ʂɑŋ⁴fan	ts ɑ w ²¹⁴ ʂ ɑ ŋ ⁴ f a n		481	465	ts ɑ w ²¹⁴ ʂ - ɑ ŋ ⁴ f a n -	C V C T C V C T C V C
1007	Changsha	breakfast	早饭	ʦaw⁴¹fan¹¹	ts a w ⁴¹ f a n ¹¹		481	465	ts a w ⁴¹ - - - - - f a n ¹¹	C V C T C V C T
1019	Chengdu	breakfast	早饭	ʦaw⁵³fan¹³	ts a w ⁵³ f a n ¹³		481	465	ts a w ⁵³ - - - - - f a n ¹³	C V C T C V C T
1010	Guixian	breakfast	早饭	ʦa⁴²fan²¹³	ts a ⁴² f a n ²¹³		481	465	ts a - ⁴² - - - - - f a n ²¹³	C V T C V C T
1016	Hangzhou	breakfast	早饭	ʦɔ⁵³vᴇ̃¹³	ts ɔ ⁵³ v ᴇ̃/ẽ̞ ¹³		481	465	ts ɔ - ⁵³ - - - - - v ᴇ̃/ẽ̞ - ¹³	C V T C V T
1013	Hefei	breakfast	早饭	ʦɔ²⁴fæ̃⁵³	ts ɔ ²⁴ f æ̃ ⁵³		481	465	ts ɔ - ²⁴ - - - - - f æ̃ - ⁵³	C V T C V T
1014	Jinan	breakfast	早饭	ʦɔ⁵⁵fã²¹	ts ɔ ⁵⁵ f ã ²¹		481	465	ts ɔ - ⁵⁵ - - - - - f ã - ²¹	C V T C V T
1018	Nanchang	breakfast	早饭	ʦɑw²¹³fan²¹	ts ɑ w ²¹³ f a n ²¹		481	465	ts ɑ w ²¹³ - - - - - f a n ²¹	C V C T C V C T
1026	Shanghai	breakfast	早饭	ʦɔ³⁵ve¹³	ts ɔ ³⁵ v e ¹³		481	465	ts ɔ - ³⁵ - - - - - v e - ¹³	C V T C V T
1021	Shexian	breakfast	早饭	ʦɔ³⁵fɛ	ts ɔ ³⁵ f ɛ		481	465	ts ɔ - ³⁵ - - - - - f ɛ - -	C V T C V
1020	Taiyuan	breakfast	早清饭	ʦaw⁵³ʨʰjəŋ¹¹fæ̃⁴⁵	ts a w ⁵³ tɕʰ j ə ŋ ¹¹ f æ̃ ⁴⁵		481	465	ts a w ⁵³ tɕʰ j ə ŋ ¹¹ f æ̃ - ⁴⁵	C V C T C C V C T C V T
1017	Guangzhou	breakfast	早餐	ʦow³⁵ʦʰan⁵⁵	ts o w ³⁵ tsʰ a n ⁵⁵		567	530	ts o w ³⁵ tsʰ a n ⁵⁵	C V C T C V C T
1009	Guixian	breakfast	早餐	ʦa⁴²ʦʰan⁵⁵	ts a ⁴² tsʰ a n ⁵⁵		567	530	ts a - ⁴² tsʰ a n ⁵⁵	C V T C V C T
1012	Xiamen	breakfast	早餐	ʦa⁵³ʦʰan⁵⁵	ts a ⁵³ tsʰ a n ⁵⁵		567	530	ts a - ⁵³ tsʰ a n ⁵⁵	C V T C V C T
1024	Beijing	breakfast	早点	ʦɑw²¹⁴tjan²¹⁴	ts ɑ w ²¹⁴ t j a n ²¹⁴		286	305	ts ɑ w ²¹⁴ t j a n ²¹⁴	C V C T C C V C T
1015	Jinan	breakfast	早点	ʦɔ⁵⁵tjã⁵⁵	ts ɔ ⁵⁵ t j ã ⁵⁵		286	305	ts ɔ - ⁵⁵ t j ã - ⁵⁵	C V T C C V T
1025	Kunming	breakfast	早点	ʦɔ⁵³tjɛ̃⁵³	ts ɔ ⁵³ t j ɛ̃ ⁵³		286	305	ts ɔ - ⁵³ t j ɛ̃ - ⁵³	C V T C C V T
314	Changsha	cabbage	包菜	paw³³ʦʰaj⁵⁵	p a w ³³ tsʰ a j ⁵⁵		456	444	p a w ³³ - - - - tsʰ a j ⁵⁵	C V C T C V C T
321	Hangzhou	cabbage	包心菜	pɔ³³ɕin³³ʦʰᴇ⁴⁴⁵	p ɔ ³³ ɕ i n ³³ tsʰ ᴇ/e̞ ⁴⁴⁵		456	444	p ɔ - ³³ ɕ i n ³³ tsʰ ᴇ/e̞ - ⁴⁴⁵	C V T C V C T C V T
